id,intakedate,intakereason,istransfer,sheltercode,identichipnumber,animalname,breedname,basecolour,speciesname,animalage,sexname,location,movementdate,movementtype,istrial,returndate,returnedreason,deceaseddate,deceasedreason,diedoffshelter,puttosleep,isdoa
63650,21-06-2019 15:06,Unsuitable Accommodation,0,C1906873,9.8102E+14,King Cobra,Domestic Long Hair,Black,Cat,13 weeks.,Male,Adoptable window colony,05-07-2019 00:00,Adoption,0,,Stray,,Court Order/ Legal,0,0,0
63652,21-06-2019 15:37,Stray,0,D1906875,,Button,Shih Tzu,White and Black,Dog,11 years 0 months.,Male,Dog room D,21-06-2019 00:00,Reclaimed,0,,Stray,,Court Order/ Legal,0,0,0
63653,21-06-2019 17:57,Stray,0,D1906876,,Sparky,German Shorthaired Pointer,Brown and White,Dog,7 years 0 months.,Female,Dog room D,21-06-2019 00:00,Reclaimed,0,,Stray,,Court Order/ Legal,0,0,0
63654,21-06-2019 18:11,Stray,0,D1906877,9.85112E+14,Bri,Boston Terrier/Rat Terrier,Brindle and White,Dog,4 years 0 months.,Female,Canine intake room,21-06-2019 00:00,Reclaimed,0,,Stray,,Court Order/ Legal,0,0,0
63655,22-06-2019 12:08,Moving,0,C1906878,,Edsel,Domestic Short Hair,Black and White,Cat,4 years 0 months.,Male,Cat room C,02-07-2019 00:00,Adoption,0,,Stray,,Court Order/ Legal,0,0,0
63656,22-06-2019 14:53,Stray,0,C1906879,9.8102E+14,Hanna Bell,Domestic Short Hair,Brown and Black,Cat,2 years 1 month.,Female,Adoptable Cat Middle Colony,19-07-2019 00:00,Adoption,0,,Stray,,Court Order/ Legal,0,0,0
63658,22-06-2019 15:19,Incompatible with other pets,0,D1906878,9.8102E+14,Nala,Husky/Labrador Retriever,Golden,Dog,7 months.,Female,Adoptable Dogs,05-07-2019 00:00,Adoption,0,,Stray,,Court Order/ Legal,0,0,0
63659,22-06-2019 17:05,Incompatible with owner lifestyle,0,D1906879,9.8102E+14,Puppers,Labrador Retriever/Mix,Black,Dog,17 weeks.,Female,Adoptable Dogs,05-07-2019 00:00,Adoption,0,,Stray,,Court Order/ Legal,0,0,0
63660,23-06-2019 00:05,Sick/Injured,0,C1906874,9.8102E+14,Hootie,Domestic Short Hair,Tortie,Cat,10 weeks.,Female,Adoptable window colony,26-06-2019 00:00,Foster,0,10-07-2019 00:00,Stray,,Court Order/ Legal,0,0,0
63660,23-06-2019 00:05,Sick/Injured,0,C1906874,9.8102E+14,Hootie,Domestic Short Hair,Tortie,Cat,10 weeks.,Female,Adoptable window colony,19-07-2019 00:00,Adoption,0,,Stray,,Court Order/ Legal,0,0,0
63661,23-06-2019 09:45,Stray,0,D1906881,,Zerillous,Labrador Retriever,Golden,Dog,5 years 0 months.,Male,Canine intake room,23-06-2019 00:00,Reclaimed,0,,Stray,,Court Order/ Legal,0,0,0
63662,24-06-2019 11:28,Moving,0,D1906880,9.8101E+14,Brody,Golden Retriever/Mix,Golden,Dog,9 years 0 months.,Male,Dog room D,29-06-2019 00:00,Transfer,0,,Stray,,Court Order/ Legal,0,0,0
63664,24-06-2019 12:03,Stray,0,C1906883,,Booth,Domestic Short Hair,Grey,Cat,6 weeks.,Male,Cat room A,25-06-2019 00:00,Foster,0,27-06-2019 00:00,Stray,15-07-2019 00:00,Died in care,0,0,0
63664,24-06-2019 12:03,Stray,0,C1906883,,Booth,Domestic Short Hair,Grey,Cat,6 weeks.,Male,Cat room A,27-06-2019 00:00,Foster,0,,Stray,15-07-2019 00:00,Died in care,0,0,0
63665,24-06-2019 12:03,Stray,0,C1906884,9.8102E+14,Bindy,Domestic Short Hair,"Brown, Black and White",Cat,12 weeks.,Female,Adoptable window colony,25-06-2019 00:00,Foster,0,27-06-2019 00:00,Stray,,Court Order/ Legal,0,0,0
63665,24-06-2019 12:03,Stray,0,C1906884,9.8102E+14,Bindy,Domestic Short Hair,"Brown, Black and White",Cat,12 weeks.,Female,Adoptable window colony,27-06-2019 00:00,Foster,0,22-08-2019 00:00,Stray,,Court Order/ Legal,0,0,0
63665,24-06-2019 12:03,Stray,0,C1906884,9.8102E+14,Bindy,Domestic Short Hair,"Brown, Black and White",Cat,12 weeks.,Female,Adoptable window colony,25-08-2019 00:00,Adoption,0,,Stray,,Court Order/ Legal,0,0,0
63666,24-06-2019 12:21,Moving,0,C1906881,9.8102E+14,Skittles,Domestic Short Hair,Orange,Cat,17 weeks.,Male,Adoptable Cat Small Colony,01-07-2019 00:00,Adoption,0,,Stray,,Court Order/ Legal,0,0,0
63667,24-06-2019 12:31,Stray,0,D1906885,9.8102E+14,Skye,Border Collie/Terrier,Black and White,Dog,1 year 0 months.,Female,Dog room D,24-06-2019 00:00,Reclaimed,0,,Stray,,Court Order/ Legal,0,0,0
63671,24-06-2019 14:47,Allergies,0,C1906886,9.85113E+14,Schroeder,Domestic Long Hair,Black,Cat,3 years 2 months.,Male,Cat room A,02-08-2019 00:00,Adoption,0,,Stray,,Court Order/ Legal,0,0,0
63674,24-06-2019 14:45,Stray,0,C1906889,,Arnold,Domestic Short Hair,Grey and White,Cat,1 year 0 months.,Male,Cat room A,26-06-2019 00:00,Released To Wild,0,,Stray,,Court Order/ Legal,0,0,0
63675,24-06-2019 14:47,Allergies,0,C1906890,9.8102E+14,Linus,Domestic Short Hair,Black,Cat,7 years 1 month.,Male,Cat room A,30-07-2019 00:00,Adoption,0,,Stray,,Court Order/ Legal,0,0,0
63676,24-06-2019 14:45,Stray,0,C1906891,,Albert,Domestic Short Hair,Brown and Black,Cat,1 year 0 months.,Male,Feline intake room,26-06-2019 00:00,Released To Wild,0,,Stray,,Court Order/ Legal,0,0,0
63677,24-06-2019 14:47,Allergies,0,C1906892,9.8102E+14,Lucy,Domestic Short Hair,Black,Cat,8 years 1 month.,Female,Cat room A,31-07-2019 00:00,Adoption,0,,Stray,,Court Order/ Legal,0,0,0
63678,24-06-2019 14:45,Stray,0,C1906893,,Helena,Domestic Short Hair,Dilute tortoiseshell,Cat,99 years 0 months.,Female,Cat room C,27-06-2019 00:00,Released To Wild,0,,Stray,,Court Order/ Legal,0,0,0
63679,24-06-2019 15:10,Stray,0,C1906894,9.8102E+14,Mindy,Domestic Short Hair,Orange and White,Cat,13 weeks.,Female,Adoptable window colony,25-06-2019 00:00,Foster,0,04-08-2019 00:00,Stray,,Court Order/ Legal,0,0,0
63679,24-06-2019 15:10,Stray,0,C1906894,9.8102E+14,Mindy,Domestic Short Hair,Orange and White,Cat,13 weeks.,Female,Adoptable window colony,09-08-2019 00:00,Foster,0,20-08-2019 00:00,Stray,,Court Order/ Legal,0,0,0
63679,24-06-2019 15:10,Stray,0,C1906894,9.8102E+14,Mindy,Domestic Short Hair,Orange and White,Cat,13 weeks.,Female,Adoptable window colony,22-08-2019 00:00,Adoption,0,,Stray,,Court Order/ Legal,0,0,0
63680,24-06-2019 15:10,Stray,0,C1906895,9.8102E+14,Scooter,Domestic Short Hair,"Brown, Black and White",Cat,13 weeks.,Male,Adoptable window colony,25-06-2019 00:00,Foster,0,04-08-2019 00:00,Stray,,Court Order/ Legal,0,0,0
63680,24-06-2019 15:10,Stray,0,C1906895,9.8102E+14,Scooter,Domestic Short Hair,"Brown, Black and White",Cat,13 weeks.,Male,Adoptable window colony,09-08-2019 00:00,Foster,0,20-08-2019 00:00,Stray,,Court Order/ Legal,0,0,0
63680,24-06-2019 15:10,Stray,0,C1906895,9.8102E+14,Scooter,Domestic Short Hair,"Brown, Black and White",Cat,13 weeks.,Male,Adoptable window colony,23-08-2019 00:00,Adoption,0,,Stray,,Court Order/ Legal,0,0,0
63681,24-06-2019 15:10,Stray,0,C1906896,,Odd Todd,Domestic Short Hair,Orange,Cat,7 weeks.,Male,Cat room A,25-06-2019 00:00,Foster,0,14-07-2019 00:00,Stray,14-07-2019 00:00,Died in care,0,0,0
63682,24-06-2019 15:10,Stray,0,C1906897,9.8102E+14,Sparky,Domestic Short Hair,Black and White,Cat,13 weeks.,Male,Food prep room,25-06-2019 00:00,Foster,0,01-08-2019 00:00,Stray,,Court Order/ Legal,0,0,0
63682,24-06-2019 15:10,Stray,0,C1906897,9.8102E+14,Sparky,Domestic Short Hair,Black and White,Cat,13 weeks.,Male,Food prep room,10-08-2019 00:00,Foster,0,17-08-2019 00:00,Stray,,Court Order/ Legal,0,0,0
63682,24-06-2019 15:10,Stray,0,C1906897,9.8102E+14,Sparky,Domestic Short Hair,Black and White,Cat,13 weeks.,Male,Food prep room,17-08-2019 00:00,Adoption,0,,Stray,,Court Order/ Legal,0,0,0
63683,24-06-2019 15:10,Stray,0,C1906898,9.8102E+14,Simba,Domestic Short Hair,Black,Cat,10 weeks.,Male,Adoptable Cat Big Colony,25-06-2019 00:00,Foster,0,01-08-2019 00:00,Stray,,Court Order/ Legal,0,0,0
63683,24-06-2019 15:10,Stray,0,C1906898,9.8102E+14,Simba,Domestic Short Hair,Black,Cat,10 weeks.,Male,Adoptable Cat Big Colony,02-08-2019 00:00,Adoption,0,,Stray,,Court Order/ Legal,0,0,0
